Question,Answer,Source
Can I return items?,"Once sold we have a no return, no refund policy. However, we do allow exchanges in size/colour if an item is not to your liking (additional delivery charges will apply)",https://kingscollection.co.ke/faqs/
Can I place my order over email or phone?,Definitely! Any order with Kingâ€™s is treated with the same importance! Email address: info@kings.co.ke Whatsapp shop: +254 720 203 333 We thank you in advance for being a great customer!,https://kingscollection.co.ke/faqs/
I didn't receive my order,Sorry about that! Please call +254 703 444 444 us with your order number (you should have an email with the items and order number already) One of our team members will be in touch with you as soon as possible!,https://kingscollection.co.ke/faqs/
How much is the delivery fee?,"300/= within Nairobi, 600/= within Kenya- delivery via shuttle (outside of Nairobi) Free delivery for all orders over 10,000/= Additional cost applies for delivery via courier.",https://kingscollection.co.ke/faqs/
How long will it take to receive my order?,We work hard to ensure you get exactly what you ordered as soon as possible. Same day delivery for orders placed before 4pm (within Nairobi). Orders outside Nairobi will depend on the shuttle/ courier of choice.,https://kingscollection.co.ke/faqs/
How can I estimate my sizing?,We recognize that each product varies in size. Please refer to the size guide for each product to assist you in making your purchase decision.,https://kingscollection.co.ke/faqs/
I have a coupon for Kingâ€™s Collection. How do I use it?,"You will be prompted to enter your coupon code on the CHECKOUT page. The discount is automatically applied to the total once you enter the coupon, if valid. Note that coupons may have a minimum spend value or only for shipping charges.",https://kingscollection.co.ke/faqs/
How do I check my order status?,"To check the status of your order, including processing and shipping updates, clickhere. You can check your order status by logging in to your My Account or by entering your order number, email address and billing zip code.",https://us.puma.com/us/en/help/faq
What should I do if I receive only part of my order?,"If youâ€™ve received only part of your order, first check the shipping confirmation email. Your Order Summary will indicate which items were shipped and which may be arriving separately. If you still have questions or concerns, please check your order statushere.",https://us.puma.com/us/en/help/faq
Can I change or cancel my order once it has been placed?,"Unfortunately, no. Once your order has been placed it is sent to our warehouse for processing. You will need to return the original package to obtain a refund.",https://us.puma.com/us/en/help/faq
What types of payment are accepted?,"We accept payment by debit/credit cards, Apple Pay, PayPal, and PUMA Gift Cards. Visit ourPayment Optionspage for more information.",https://us.puma.com/us/en/help/faq
How do I used a promotion/coupon code?,"To use your promotion or coupon code, enter the code at checkout in the appropriate field. Make sure you enter the code with the exact spelling and capitalization as shown. You must click ""apply"" in order for the discount to be applied. The discounted amount will be displayed on the Shopping Bag and Order Summary pages. If the code is invalid, expired or you have not placed the correct products in the shopping bag, the discount will not be applied.",https://us.puma.com/us/en/help/faq
Why is my coupon code not working?,"Our offer codes exclude but are not limited to new product releases, select Classic styles, select Teamsport styles, Golf, Basketball, select RS Product, clearance merchandise and new licensed and replica jerseys. Offers cannot be combined with any other shipping promotion, offer or coupon. Offers cannot be applied to past purchases, redeemed for cash equivalent, used to purchase gift cards, or used as payment on an account.",https://us.puma.com/us/en/help/faq
How can I redeem a PUMA Gift Card?,You can enter your Gift Card information during checkout under the Payment Information section. Click â€œAdd a Gift Cardâ€ and enter the unique code as well as the pin number. You may also check your balance at that time. Learn more about PUMA Gift Cards and check your balance on ourGift Cardpage.,https://us.puma.com/us/en/help/faq
How do I purchase a PUMA Gift Card?,"You can purchase a PUMA Gift Card at any PUMA store, an authorized retailer, or onlinehere.Note: when buying online, you will be directed away from PUMA.com to complete your purchase.",https://us.puma.com/us/en/help/faq
How is sales tax calculated?,"We charge sales and use tax according to federal, state and local government guidelines. Taxes are calculated based on the shipping address provided and the appropriate rules for that tax jurisdiction.",https://us.puma.com/us/en/help/faq
How long does it take to personalize a jersey?,"The time it takes to personalize a jersey varies because they need to be shipped to the screen printer before being shipped to you. Typically, the personalization process adds an additional 7 to 10 days to the order's processing time before it is ready for shipment.",https://us.puma.com/us/en/help/faq
When will I receive shipping confirmation for my personalized jersey order?,"After placing your order, the jersey will be sent to the screen printer for personalization. Once the personalization has been added, you will receive a shipping confirmation with the details of your shipment.",https://us.puma.com/us/en/help/faq
Can I return a personalized jersey if I change my mind?,"No, personalized jerseys cannot be returned unless they are defective or faulty. If you believe your personalized jersey is defective or faulty, please contact our customer service teamhere.Common issues can include printing errors, fabric defects, or incorrect personalization details.",https://us.puma.com/us/en/help/faq
Can I make changes to my personalized jersey order after it has been placed?,"Unfortunately, once an order for a personalized jersey has been placed, it cannot be modified or canceled. This is due to the custom nature of the item and the immediate processing required for personalization. Please double-check all details before completing your purchase to ensure accuracy.",https://us.puma.com/us/en/help/faq
Do you ship internationally?,We ship to the following locations outside of the United States:,https://us.puma.com/us/en/help/faq
Do you ship to APO/FPO addresses and P.O. boxes?,"Yes, we offer shipping to APO/FPO addresses as well as P.O. boxes. Visit ourShipping & Deliverypage for rates and expected delivery times.",https://us.puma.com/us/en/help/faq
What should I do if I can't locate my package after it's been marked as delivered?,"If you are unable to locate your package after it has been delivered, pleasefill out a claim here. Once your claim is submitted you will receive an email confirmation.",https://us.puma.com/us/en/help/faq
What should I do if my package has arrived damaged?,"If your package has arrived damages, pleasefill out a claim here. Once your claim is submitted you will receive an email confirmation.",https://us.puma.com/us/en/help/faq
What should I do if my tracking has not updated?,"If your tracking has not updated, it is likely still in transit to you. Many times, FedEx will only update with a location scan once the package is in the local area. We must allow FedEx 10 business days without an update before considering a package lost in transit. If this time frame has passed, pleasefill out a claim here. Once your claim is submitted you will receive an email confirmation.",https://us.puma.com/us/en/help/faq
How do I return or exchange an item?,"We are happy to offer free online returns for orders placed on puma.com within 45 days of purchase. You may return your PUMA products* in their original, unused condition for a full refund.*Excludes gift cards, bodywear, customized products and final sale items.",https://us.puma.com/us/en/help/faq
What if I have a defective or damaged item?,"If you believe an item is defective, please contact Customer Service at 1-888-565-7862 or via customerservice.us@puma.com",https://us.puma.com/us/en/help/faq
What is the 30 Day Test Run?,"Try ourrunning shoesfor 30 days and if theyâ€™re not a good fit, send them back hassle-free.",https://us.puma.com/us/en/help/faq
Where can I find a PUMA Store or Outlet?,You can find your nearest PUMA Store via our onlineStore Directory. Near NYC? Check out ourFlagship Store.,https://us.puma.com/us/en/help/faq
Is there a maximum unit purchase on a single item?,"Yes, most PUMA.com products have an order quantity limit of 6. Certain Select styles and higher priced items will have a quantity limit of 2. PUMA reserves the right to lower the order quantity limit based on item availability.",https://us.puma.com/us/en/help/faq
Do you offer a student discount?,Yes! We are happy to offer a Student Discount through UNiDAYS.,https://us.puma.com/us/en/help/faq
Which browser works best for your site?,"At PUMA, we're committed to be the worldâ€™s fastest sports brand. Our teams make use of the newest technologies to improve your experience. Modern, up-to-date browsers allow you to take full advantage of this, as well as providing improved security and performance. We recommend using the latest versions of Google Chrome or Safari when browsing the PUMA website. Using an alternate browser will result in an inferior experience where some features may not work as intended.",https://us.puma.com/us/en/help/faq
Why are products disappearing out of my shopping cart?,"The lifetime of the shopping cart is 7 days. After 7 days any item in your cart will no longer be visible. Remember, item inventory is not reserved when added to your cart. We recommend placing your order to secure the items you wish to purchase.",https://us.puma.com/us/en/help/faq
Can I save items in my shopping cart to purchase later?,"If you would like to save items for future purchase, we recommend utilizing our Wishlist functionality â€“ simply create an account, login, and begin adding items to your Wishlist. Items in your Wishlist will be stored and will display the most up to date stock information, in the event an item goes out of stock.",https://us.puma.com/us/en/help/faq
How can I request a sponsorship from PUMA?,Please send your sponsorship inquiry to our official email:pna-sponsorships.usa@puma.com,https://us.puma.com/us/en/help/faq
How do I care for my PUMA products?,Caring for PUMA Apparel,https://us.puma.com/us/en/help/faq
How can I sell PUMA products in my store or online?,"If you are a retailer interested in selling PUMA products, please reach out toNew-Account-Applications@puma.comand include the following information in your inquiry:Business NameContact NameContact NumberContact Email",https://us.puma.com/us/en/help/faq
Where are the Decathlon stores in Kenya?,"We are located at The Hub Mall in Karen and Two Rivers mallÂ  along Limuru road. If you would like to recommend a place for us to continue, write to us and let us know!",https://www.decathlon.co.ke/content/99-faq
Do you deliver Outside Nairobi?,We currently deliver within Nairobi. We also value our clients outside Nairobi as well but they will need to organize for transport for their orders as our transport provider only caters for Nairobi region. Thank you for your understanding.,https://www.decathlon.co.ke/content/99-faq
Is there a way to test your products for size before we purchase them?,"Yes there is, but unfortunately, you will have to visit our physical stores at the hub in Karen and Two Rivers mall.",https://www.decathlon.co.ke/content/99-faq
Can I pick up my orders from somewhere in NairobiÂ instead of choosing and paying for delivery?,Our delivery partners will deliver your order to the address you provide. We have a pick up in store option on the website that allows you to pick the product at any of outlets within 7 days after your purchase.,https://www.decathlon.co.ke/content/99-faq
Do you offer printing for apparel or customized kits?,"No, not at the moment!",https://www.decathlon.co.ke/content/99-faq
How do I track my order?,"Once your order has been paid for and confirmed, you will receive an email with your tracking ID. Please use this tracking ID to check on the status of your order.Â  If you have tried this already and still have questions, please write to us[emailÂ protected]",https://www.decathlon.co.ke/content/99-faq
The order delivery was attempted at a time when I was not at the delivery address. What happens next?,"Please check your phone for any messages or calls from our delivery partner. In case they missed you, they will return the order back to us to be shipped back out after communication.",https://www.decathlon.co.ke/content/99-faq
Can I change my delivery address after an order has been confirmed?,"That will depend on the status of your order, please write or call us immediately.",https://www.decathlon.co.ke/content/99-faq
I would like to buy a Decathlon product that you donâ€™t currently stock.,"Unfortunately, we can't! However, our aim is to expand our product range step by step, so if thereâ€™s something you need and cant find, please let us know so we can make it available in the future.",https://www.decathlon.co.ke/content/99-faq
"I am looking for a product, and it is always out of stock! Why is that happening?",A product that is out of stock on the website means we are still hoping to receive the product in the near future. You can leave your details on the notify me box so that once we receive the product you will get an email notification. *Any more questions? Pleasecontact us!,https://www.decathlon.co.ke/content/99-faq
Which payment methods can I use to place an order?,You can pay for your order via the credit card or bank card.,https://www.lcwaikiki.rs/en/help/faq
