Question,Answer,Source,Question_Swahili,Answer_Swahili,Question_Sheng,Answer_Sheng,Cleaned_Question,Cleaned_Answer
Can I return items?,"Once sold we have a no return, no refund policy. However, we do allow exchanges in size/colour if an item is not to your liking (additional delivery charges will apply)",https://kingscollection.co.ke/faqs/,Je! Ninaweza kurudi vitu?,"Mara tu kuuzwa hatuna kurudi, hakuna sera ya kurudishiwa.Walakini, tunaruhusu kubadilishana kwa ukubwa/rangi ikiwa kitu sio kwa kupenda kwako (malipo ya ziada ya uwasilishaji yatatumika)",Je! Ninaweza kurudi vitu?,"Mara tu kuuzwa hatuna kurudi, hakuna sera ya kurudishiwa.Walakini, tunaruhusu kubadilishana kwa ukubwa/rangi ikiwa kitu sio kwa kupenda kwako (malipo ya ziada ya uwasilishaji yatatumika)",return item,sold return refund policy however allow exchange sizecolour item liking additional delivery charge apply
Can I place my order over email or phone?,Definitely! Any order with Kingâ€™s is treated with the same importance! Email address: info@kings.co.ke Whatsapp shop: +254 720 203 333 We thank you in advance for being a great customer!,https://kingscollection.co.ke/faqs/,Je! Ninaweza kuweka agizo langu kwa barua pepe au simu?,Hakika!Agizo lolote na King linatibiwa na umuhimu huo!Anwani ya barua pepe: info@kings.co.ke WhatsApp Shop: +254 720 203 333 Tunakushukuru mapema kwa kuwa mteja mzuri!,Je! Ninaweza kuweka agizo langu kwa barua pepe au simu?,Hakika!Agizo lolote na King linatibiwa na umuhimu huo!Anwani ya barua pepe: info@kings.co.ke WhatsApp Shop: +254 720 203 333 Tunakushukuru mapema kwa kuwa mteja mzuri!,place order email phone,definitely order kingâ€™s treated importance email address infokingscoke whatsapp shop 254 720 203 333 thank advance great customer
I didnâ€™t receive my order,Sorry about that! Please call +254 703 444 444 us with your order number (you should have an email with the items and order number already) One of our team members will be in touch with you as soon as possible!,https://kingscollection.co.ke/faqs/,Sikupokea agizo langu,Samahani juu ya hilo!Tafadhali piga simu +254 703 444 444 US na nambari yako ya kuagiza (unapaswa kuwa na barua pepe na vitu na nambari ya kuagiza tayari) mmoja wa washiriki wa timu yetu atawasiliana nawe haraka iwezekanavyo!,Sikupokea agizo langu,Samahani juu ya hilo!Tafadhali piga simu +254 703 444 444 US na nambari yako ya kuagiza (unapaswa kuwa na barua pepe na vitu na nambari ya kuagiza tayari) mmoja wa washiriki wa timu yetu atawasiliana nawe haraka iwezekanavyo!,didnâ€™t receive order,sorry please call 254 703 444 444 u order number email item order number already one team member touch soon possible
How much is the delivery fee?,"300/= within Nairobi, 600/= within Kenya- delivery via shuttle (outside of Nairobi) Free delivery for all orders over 10,000/= Additional cost applies for delivery via courier.",https://kingscollection.co.ke/faqs/,Ada ya utoaji ni kiasi gani?,"300/= ndani ya Nairobi, 600/= ndani ya Utoaji wa Kenya- kupitia Shuttle (nje ya Nairobi) utoaji wa bure kwa maagizo yote zaidi ya 10,000/= gharama ya ziada inatumika kwa utoaji kupitia Courier.",Ada ya utoaji ni kiasi gani?,"300/= ndani ya Nairobi, 600/= ndani ya Utoaji wa Kenya- kupitia Shuttle (nje ya Nairobi) utoaji wa bure kwa maagizo yote zaidi ya 10,000/= gharama ya ziada inatumika kwa utoaji kupitia Courier.",much delivery fee,300 within nairobi 600 within kenya delivery via shuttle outside nairobi free delivery order 10000 additional cost applies delivery via courier
How long will it take to receive my order?,We work hard to ensure you get exactly what you ordered as soon as possible. Same day delivery for orders placed before 4pm (within Nairobi). Orders outside Nairobi will depend on the shuttle/ courier of choice.,https://kingscollection.co.ke/faqs/,Itachukua muda gani kupokea agizo langu?,Tunafanya kazi kwa bidii kuhakikisha unapata kile ulichoamuru haraka iwezekanavyo.Uwasilishaji wa siku hiyo hiyo kwa maagizo yaliyowekwa kabla ya 4:00 (ndani ya Nairobi).Maagizo nje ya Nairobi itategemea shuttle/ Courier ya chaguo.,Itachukua muda gani kupokea agizo langu?,Tunafanya kazi kwa bidii kuhakikisha unapata kile ulichoamuru haraka iwezekanavyo.Uwasilishaji wa day hiyo hiyo kwa maagizo yaliyowekwa kabla ya 4:00 (ndani ya Nairobi).Maagizo nje ya Nairobi itategemea shuttle/ Courier ya chaguo.,long take receive order,work hard ensure get exactly ordered soon possible day delivery order placed 4pm within nairobi order outside nairobi depend shuttle courier choice
How can I estimate my sizing?,We recognize that each product varies in size. Please refer to the size guide for each product to assist you in making your purchase decision.,https://kingscollection.co.ke/faqs/,Ninawezaje kukadiria ukubwa wangu?,Tunatambua kuwa kila bidhaa inatofautiana kwa ukubwa.Tafadhali rejelea mwongozo wa saizi kwa kila bidhaa kukusaidia katika kufanya uamuzi wako wa ununuzi.,Ninawezaje kukadiria ukubwa wangu?,Tunatambua kuwa kila bidhaa inatofautiana kwa ukubwa.Tafadhali rejelea mwongozo wa saizi kwa kila bidhaa kukusaidia katika kufanya uamuzi wako wa ununuzi.,estimate sizing,recognize product varies size please refer size guide product assist making purchase decision
I have a coupon for Kingâ€™s Collection. How do I use it?,"You will be prompted to enter your coupon code on the CHECKOUT page. The discount is automatically applied to the total once you enter the coupon, if valid. Note that coupons may have a minimum spend value or only for shipping charges.",https://kingscollection.co.ke/faqs/,Nina kuponi kwa mkusanyiko wa King.Je! Ninaitumiaje?,"Utahamasishwa kuingiza nambari yako ya kuponi kwenye ukurasa wa Checkout.Punguzo hutumika kiatomati kwa jumla mara tu unapoingia kuponi, ikiwa ni halali.Kumbuka kwamba kuponi zinaweza kuwa na thamani ya chini ya matumizi au tu kwa malipo ya usafirishaji.",Nina kuponi kwa mkusanyiko wa King.Je! Ninaitumiaje?,"Utahamasishwa kuingiza nambari yako ya kuponi kwenye ukurasa wa Checkout.Punguzo hutumika kiatomati kwa jumla mara tu unapoingia kuponi, ikiwa ni halali.Kumbuka kwamba kuponi zinaweza kuwa na thamani ya chini ya matumizi au tu kwa malipo ya usafirishaji.",coupon kingâ€™s collection use,prompted enter coupon code checkout page discount automatically applied total enter coupon valid note coupon may minimum spend value shipping charge
How do I check my order status?,"To check the status of your order, including processing and shipping updates, clickhere. You can check your order status by logging in to your My Account or by entering your order number, email address and billing zip code.",https://us.puma.com/us/en/help/faq,Je! Ninaangaliaje hali yangu ya agizo?,"Kuangalia hali ya agizo lako, pamoja na usindikaji na sasisho za usafirishaji, bonyeza.Unaweza kuangalia hali yako ya agizo kwa kuingia kwenye akaunti yako au kwa kuingiza nambari yako ya agizo, anwani ya barua pepe na nambari ya zip ya malipo.",Je! Ninaangaliaje hali yangu ya agizo?,"Kuangalia hali ya agizo lako, pamoja na usindikaji na sasisho za usafirishaji, bonyeza.Unaweza kuangalia hali yako ya agizo kwa kuingia kwenye akaunti yako au kwa kuingiza nambari yako ya agizo, anwani ya barua pepe na nambari ya zip ya malipo.",check order status,check status order including processing shipping update clickhere check order status logging account entering order number email address billing zip code
What should I do if I receive only part of my order?,"If youâ€™ve received only part of your order, first check the shipping confirmation email. Your Order Summary will indicate which items were shipped and which may be arriving separately. If you still have questions or concerns, please check your order statushere.",https://us.puma.com/us/en/help/faq,Nifanye nini ikiwa nitapokea sehemu tu ya agizo langu?,"Ikiwa umepokea sehemu tu ya agizo lako, kwanza angalia barua pepe ya uthibitisho wa usafirishaji.Muhtasari wa agizo lako utaonyesha ni vitu vipi vilivyosafirishwa na ambavyo vinaweza kuwa vikifika kando.Ikiwa bado una maswali au wasiwasi, tafadhali angalia amri yako ya kuagiza.",Nifanye nini ikiwa nitapokea sehemu tu ya agizo langu?,"Ikiwa umepokea sehemu tu ya agizo lako, kwanza angalia barua pepe ya uthibitisho wa usafirishaji.Muhtasari wa agizo lako utaonyesha ni vitu vipi vilivyosafirishwa na ambavyo vinaweza kuwa vikifika kando.Ikiwa bado una maswali au wasiwasi, tafadhali angalia amri yako ya kuagiza.",receive part order,youâ€™ve received part order first check shipping confirmation email order summary indicate item shipped may arriving separately still question concern please check order statushere
Can I change or cancel my order once it has been placed?,"Unfortunately, no. Once your order has been placed it is sent to our warehouse for processing. You will need to return the original package to obtain a refund.",https://us.puma.com/us/en/help/faq,Je! Ninaweza kubadilisha au kufuta agizo langu mara tu limewekwa?,"Kwa bahati mbaya, hapana.Mara tu agizo lako limewekwa linatumwa kwa ghala letu kwa usindikaji.Utahitaji kurudisha kifurushi cha asili kupata pesa.",Je! Ninaweza kubadilisha au kufuta agizo langu mara tu limewekwa?,"Kwa bahati mbaya, buda no.Mara tu agizo lako limewekwa linatumwa kwa ghala letu kwa usindikaji.Utahitaji kurudisha kifurushi cha asili kupata doe.",change cancel order placed,unfortunately order placed sent warehouse processing need return original package obtain refund
What types of payment are accepted?,"We accept payment by debit/credit cards, Apple Pay, PayPal, and PUMA Gift Cards. Visit ourPayment Optionspage for more information.",https://us.puma.com/us/en/help/faq,Je! Ni aina gani za malipo zinakubaliwa?,"Tunakubali malipo na kadi za mkopo/mkopo, Apple Pay, PayPal, na kadi za zawadi za Puma.Tembelea ukurasa wetu wa Chaguzi za Malipo kwa habari zaidi.",Je! Ni aina gani za malipo zinakubaliwa?,"Tunakubali malipo na kadi za mkopo/mkopo, Apple Pay, PayPal, na kadi za zawadi za Puma.Tembelea ukurasa wetu wa Chaguzi za Malipo kwa niaje zaidi.",type payment accepted,accept payment debitcredit card apple pay paypal puma gift card visit ourpayment optionspage information
How do I used a promotion/coupon code?,"To use your promotion or coupon code, enter the code at checkout in the appropriate field. Make sure you enter the code with the exact spelling and capitalization as shown. You must click ""apply"" in order for the discount to be applied. The discounted amount will be displayed on the Shopping Bag and Order Summary pages. If the code is invalid, expired or you have not placed the correct products in the shopping bag, the discount will not be applied.",https://us.puma.com/us/en/help/faq,Je! Ninatumiaje nambari ya kukuza/kuponi?,"Ili kutumia nambari yako ya kukuza au kuponi, ingiza nambari wakati wa Checkout kwenye uwanja unaofaa.Hakikisha unaingiza nambari na herufi halisi na mtaji kama inavyoonyeshwa.Lazima ubonyeze ""Tuma"" ili punguzo litumike.Kiasi kilichopunguzwa kitaonyeshwa kwenye begi la ununuzi na kurasa za muhtasari wa kuagiza.Ikiwa nambari hiyo ni batili, imemalizika muda au haujaweka bidhaa sahihi kwenye begi la ununuzi, punguzo halitatumika.",Je! Ninatumiaje nambari ya kukuza/kuponi?,"Ili kutumia nambari yako ya kukuza au kuponi, ingiza nambari wakati wa Checkout kwenye uwanja unaofaa.Hakikisha unaingiza nambari na herufi halisi na mtaji kama inavyoonyeshwa.Lazima ubonyeze ""Tuma"" ili punguzo litumike.Kiasi kilichopunguzwa kitaonyeshwa kwenye begi la ununuzi na kurasa za muhtasari wa kuagiza.Ikiwa nambari hiyo ni batili, imemalizika muda au haujaweka bidhaa sahihi kwenye begi la ununuzi, punguzo halitatumika.",used promotioncoupon code,use promotion coupon code enter code checkout appropriate field make sure enter code exact spelling capitalization shown must click apply order discount applied discounted amount displayed shopping bag order summary page code invalid expired placed correct product shopping bag discount applied
Why is my coupon code not working?,"Our offer codes exclude but are not limited to new product releases, select Classic styles, select Teamsport styles, Golf, Basketball, select RS Product, clearance merchandise and new licensed and replica jerseys. Offers cannot be combined with any other shipping promotion, offer or coupon. Offers cannot be applied to past purchases, redeemed for cash equivalent, used to purchase gift cards, or used as payment on an account.",https://us.puma.com/us/en/help/faq,Kwa nini nambari yangu ya kuponi haifanyi kazi?,"Nambari zetu za kutoa hutenga lakini hazizuiliwi na kutolewa mpya kwa bidhaa, chagua mitindo ya kawaida, chagua mitindo ya Timu, gofu, mpira wa kikapu, chagua bidhaa za RS, bidhaa za kibali na jerseys mpya zilizo na leseni na replica.Matoleo hayawezi kuunganishwa na kukuza yoyote ya usafirishaji, ofa au kuponi.Matoleo hayawezi kutumika kwa ununuzi wa zamani, kukombolewa kwa sawa na pesa, kutumika kununua kadi za zawadi, au kutumika kama malipo kwenye akaunti.",Kwa nini nambari yangu ya kuponi haifanyi kazi?,"Nambari zetu za kutoa hutenga lakini hazizuiliwi na kutolewa mpya kwa bidhaa, chagua mitindo ya kawaida, chagua mitindo ya Timu, gofu, mpira wa kikapu, chagua bidhaa za RS, bidhaa za kibali na jerseys mpya zilizo na leseni na replica.Matoleo hayawezi kuunganishwa na kukuza yoyote ya usafirishaji, ofa au kuponi.Matoleo hayawezi kutumika kwa ununuzi wa zamani, kukombolewa kwa poa na doe, kutumika kununua kadi za zawadi, au kutumika kama malipo kwenye akaunti.",coupon code working,offer code exclude limited new product release select classic style select teamsport style golf basketball select r product clearance merchandise new licensed replica jersey offer combined shipping promotion offer coupon offer applied past purchase redeemed cash equivalent used purchase gift card used payment account
How can I redeem a PUMA Gift Card?,You can enter your Gift Card information during checkout under the Payment Information section. Click â€œAdd a Gift Cardâ€ and enter the unique code as well as the pin number. You may also check your balance at that time. Learn more about PUMA Gift Cards and check your balance on ourGift Cardpage.,https://us.puma.com/us/en/help/faq,Ninawezaje kukomboa kadi ya zawadi ya Puma?,Unaweza kuingiza habari ya kadi yako ya zawadi wakati wa Checkout chini ya sehemu ya Habari ya Malipo.Bonyeza â € œDadi kadi ya zawadi na uweke nambari ya kipekee na nambari ya pini.Unaweza pia kuangalia usawa wako wakati huo.Jifunze zaidi juu ya kadi za zawadi za Puma na angalia mizani yako kwenye ukurasa wa kadi yaGift.,Ninawezaje kukomboa kadi ya zawadi ya Puma?,Unaweza kuingiza niaje ya kadi yako ya zawadi wakati wa Checkout chini ya sehemu ya Habari ya Malipo.Bonyeza â € œDadi kadi ya zawadi na uweke nambari ya kipekee na nambari ya pini.Unaweza pia kuangalia upoa wako wakati huo.Jifunze zaidi juu ya kadi za zawadi za Puma na angalia mizani yako kwenye ukurasa wa kadi yaGift.,redeem puma gift card,enter gift card information checkout payment information section click â€œadd gift cardâ€ enter unique code well pin number may also check balance time learn puma gift card check balance ourgift cardpage
How do I purchase a PUMA Gift Card?,"You can purchase a PUMA Gift Card at any PUMA store, an authorized retailer, or onlinehere.Note: when buying online, you will be directed away from PUMA.com to complete your purchase.",https://us.puma.com/us/en/help/faq,Je! Ninanunuaje kadi ya zawadi ya Puma?,"Unaweza kununua kadi ya zawadi ya Puma kwenye duka lolote la Puma, muuzaji aliyeidhinishwa, au mtandaonihere.note: Wakati wa kununua mkondoni, utaelekezwa mbali na Puma.com kukamilisha ununuzi wako.",Je! Ninanunuaje kadi ya zawadi ya Puma?,"Unaweza kununua kadi ya zawadi ya Puma kwenye duka lolote la Puma, muuzaji aliyeidhinishwa, au mtandaonihere.note: Wakati wa kununua mkondoni, utaelekezwa mbali na Puma.com kukamilisha ununuzi wako.",purchase puma gift card,purchase puma gift card puma store authorized retailer onlineherenote buying online directed away pumacom complete purchase
How is sales tax calculated?,"We charge sales and use tax according to federal, state and local government guidelines. Taxes are calculated based on the shipping address provided and the appropriate rules for that tax jurisdiction.",https://us.puma.com/us/en/help/faq,Ushuru wa mauzo unahesabiwaje?,"Tunatoza mauzo na kutumia ushuru kulingana na miongozo ya serikali, serikali na serikali za mitaa.Ushuru huhesabiwa kulingana na anwani ya usafirishaji iliyotolewa na sheria zinazofaa kwa mamlaka hiyo ya ushuru.",Ushuru wa mauzo unahesabiwaje?,"Tunatoza mauzo na kutumia ushuru kulingana na miongozo ya serikali, serikali na serikali za mitaa.Ushuru huhesabiwa kulingana na anwani ya usafirishaji iliyotolewa na sheria zinazofaa kwa mamlaka hiyo ya ushuru.",sale tax calculated,charge sale use tax according federal state local government guideline tax calculated based shipping address provided appropriate rule tax jurisdiction
How long does it take to personalize a jersey?,"The time it takes to personalize a jersey varies because they need to be shipped to the screen printer before being shipped to you. Typically, the personalization process adds an additional 7 to 10 days to the order's processing time before it is ready for shipment.",https://us.puma.com/us/en/help/faq,Inachukua muda gani kubinafsisha jezi?,"Wakati inachukua kubinafsisha jezi inatofautiana kwa sababu zinahitaji kusafirishwa kwa printa ya skrini kabla ya kusafirishwa kwako.Kawaida, mchakato wa ubinafsishaji unaongeza nyongeza ya siku 7 hadi 10 kwa wakati wa usindikaji kabla ya kuwa tayari kwa usafirishaji.",Inachukua muda gani kubinafsisha jezi?,"Wakati inachukua kubinafsisha jezi inatofautiana kwa sababu zinahitaji kusafirishwa kwa printa ya skrini kabla ya kusafirishwa kwako.Kawaida, mchakato wa ubinafsishaji unaongeza nyongeza ya day 7 hadi 10 kwa wakati wa usindikaji kabla ya kuwa tayari kwa usafirishaji.",long take personalize jersey,time take personalize jersey varies need shipped screen printer shipped typically personalization process add additional 7 10 day order processing time ready shipment
When will I receive shipping confirmation for my personalized jersey order?,"After placing your order, the jersey will be sent to the screen printer for personalization. Once the personalization has been added, you will receive a shipping confirmation with the details of your shipment.",https://us.puma.com/us/en/help/faq,Je! Nitapokea lini uthibitisho wa usafirishaji kwa agizo langu la kibinafsi la jezi?,"Baada ya kuweka agizo lako, jezi itatumwa kwa printa ya skrini kwa ubinafsishaji.Mara ubinafsishaji utakapoongezwa, utapokea uthibitisho wa usafirishaji na maelezo ya usafirishaji wako.",Je! Nitapokea lini uthibitisho wa usafirishaji kwa agizo langu la kibinafsi la jezi?,"Baada ya kuweka agizo lako, jezi itatumwa kwa printa ya skrini kwa ubinafsishaji.Mara ubinafsishaji utakapoongezwa, utapokea uthibitisho wa usafirishaji na maelezo ya usafirishaji wako.",receive shipping confirmation personalized jersey order,placing order jersey sent screen printer personalization personalization added receive shipping confirmation detail shipment
Can I return a personalized jersey if I change my mind?,"No, personalized jerseys cannot be returned unless they are defective or faulty. If you believe your personalized jersey is defective or faulty, please contact our customer service teamhere.Common issues can include printing errors, fabric defects, or incorrect personalization details.",https://us.puma.com/us/en/help/faq,Je! Ninaweza kurudisha jezi ya kibinafsi ikiwa nitabadilisha mawazo yangu?,"Hapana, jerseys za kibinafsi haziwezi kurudishwa isipokuwa zina kasoro au mbaya.Ikiwa unaamini jersey yako ya kibinafsi ni kasoro au mbaya, tafadhali wasiliana na huduma ya wateja wetu wa huduma ya huduma ya wateja.",Je! Ninaweza kurudisha jezi ya kibinafsi ikiwa nitabadilisha mawazo yangu?,"Hapana, jerseys za kibinafsi haziwezi kurudishwa isipokuwa zina kasoro au mbaya.Ikiwa unaamini jersey yako ya kibinafsi ni kasoro au mbaya, tafadhali wasiliana na huduma ya wateja wetu wa huduma ya huduma ya wateja.",return personalized jersey change mind,personalized jersey returned unless defective faulty believe personalized jersey defective faulty please contact customer service teamherecommon issue include printing error fabric defect incorrect personalization detail
Can I make changes to my personalized jersey order after it has been placed?,"Unfortunately, once an order for a personalized jersey has been placed, it cannot be modified or canceled. This is due to the custom nature of the item and the immediate processing required for personalization. Please double-check all details before completing your purchase to ensure accuracy.",https://us.puma.com/us/en/help/faq,Je! Ninaweza kufanya mabadiliko kwa agizo langu la kibinafsi la jezi baada ya kuwekwa?,"Kwa bahati mbaya, mara tu agizo la jezi ya kibinafsi limewekwa, haliwezi kubadilishwa au kufutwa.Hii ni kwa sababu ya asili ya kitu na usindikaji wa haraka unaohitajika kwa ubinafsishaji.Tafadhali angalia maelezo yote mara mbili kabla ya kumaliza ununuzi wako ili kuhakikisha usahihi.",Je! Ninaweza kufanya mabadiliko kwa agizo langu la kibinafsi la jezi baada ya kuwekwa?,"Kwa bahati mbaya, mara tu agizo la jezi ya kibinafsi limewekwa, haliwezi kubadilishwa au kufutwa.Hii ni kwa sababu ya asili ya kitu na usindikaji wa haraka unaohitajika kwa ubinafsishaji.Tafadhali angalia maelezo yote mara mbili kabla ya kumaliza ununuzi wako ili kuhakikisha usahihi.",make change personalized jersey order placed,unfortunately order personalized jersey placed modified canceled due custom nature item immediate processing required personalization please doublecheck detail completing purchase ensure accuracy
Do you ship internationally?,We ship to the following locations outside of the United States:,https://us.puma.com/us/en/help/faq,Je! Unasafirisha kimataifa?,Tunasafirisha kwenda kwenye maeneo yafuatayo nje ya Merika:,Je! Unasafirisha kimataifa?,Tunasafirisha kwenda kwenye maeneo yafuatayo nje ya Merika:,ship internationally,ship following location outside united state
Do you ship to APO/FPO addresses and P.O. boxes?,"Yes, we offer shipping to APO/FPO addresses as well as P.O. boxes. Visit ourShipping & Deliverypage for rates and expected delivery times.",https://us.puma.com/us/en/help/faq,Je! Unasafirisha kwenda kwa anwani za APO/FPO na P.O.sanduku?,"Ndio, tunatoa usafirishaji kwa anwani za APO/FPO na vile vile P.O.masanduku.Tembelea yetu na Utoaji wa Viwango kwa viwango na nyakati za kujifungua zinazotarajiwa.",Je! Unasafirisha kwenda kwa anwani za APO/FPO na P.O.sanduku?,"Ndio, tunatoa usafirishaji kwa anwani za APO/FPO na vile vile P.O.masanduku.Tembelea yetu na Utoaji wa Viwango kwa viwango na nyakati za kujifungua zinazotarajiwa.",ship apofpo address po box,yes offer shipping apofpo address well po box visit ourshipping deliverypage rate expected delivery time
